keywords,caption
thank for .,thank you for watching.
have wonderful weekend .,have a wonderful weekend.
keep here .,keep it here.
number one business block continues with bolling and `` ' . '',"the number one business block continues with eric bolling and ""cashin' in."""
warning sign for americans,a warning sign for all americans.
obamacare may be hazardous your plan .,obamacare may be hazardous to your health plan.
do n't believe billboard by heritage ?,don't believe this billboard by the heritage foundation?
how this creator ?,how about this job creator?
's the company showing just how hazardous the law for workers .,it's the latest company showing just how hazardous the law is for workers.
"everywhere losing power how the we the economic showdown there over prove . over syria , superpower","plus, super power showdown over syria, how the crisis over there could prove we are losing the economic superpower status everywhere."
desperate . measures then call for times,"then, desperate times call for desperate measures."
first supported low-wage worker now they looking for any .,first they supported low-wage worker now they are looking for any worker.
how boom could be a for jobs,how the boom could be a bust for jobs.
cashin ' .,"""cashin' in."""
working hard you now .,working hard for you right now.
"hi everyone , 'm eric bolling .","hi, everyone, i'm eric bolling."
"' crew week , . welcome `` in","the ""cashin' in"" crew this week -- welcome, everybody."
obamacare,obamacare.
was supposed help people get healthcare .,was supposed to help people get healthcare.
was rammed down throats way .,it was rammed down our throats this way.
look is really happening .,look what is really happening.
obamacare could be hazardous your and your .,obamacare could be hazardous to your health and your job.
giant billboard warns americans about healthcare .,this giant billboard warns americans about the healthcare law.
sign from conservative heritage foundation may be a crystal ball,the sign from the conservative group heritage foundation may be a crystal ball.
"'s because just this , supermarket trader joe 's became the company to coverage for part-time .","that's because just this week, supermarket chain trader joe's became the latest company to drop coverage for part-time workers."
add to many companies doing the same and workers are sick to their stomach .,add that to the many other companies doing the same and american workers are becoming sick to their stomach.
will it for folks dc to up and the warning has a reality,what will it take for folks in dc to wake up and realize the warning sign has become a reality?
obamacare is hazard for hard-working .,obamacare is a hazard for all hard-working americans.
so now add trader joe to list of company the worker healthcare to obamacare and many are cutting .,so now add trader joe's to agrowing list of company changing the worker healthcare due to obamacare and many others are cutting hours.
is not what were .,this is not what we were promised.
i remember hearing would bring healthcare to workers .,i remember hearing it would bring healthcare to more workers.
now 's fewer .,now it's fewer.
's destroying healthcare and potential employment of the .,it's destroying healthcare and also potential employment of the country.
delayed obamacare businesses 43 said because of % the they,43% of the small businesses said they delayed hiring because of obamacare.
20 % cut employees,20% cut employees.
20 % cut employee hours because obamacare,another 20% cut employee hours because of obamacare.
have mentioned a of the there,we have mentioned a few of the companies there.
"seaworld lands end , joe .","seaworld, lands end, trader joe."
circle-k. subway franchises all the cutting workers ' hour cutting workers of obamacare,"circle-k. subway franchises, all over the country cutting the workers' hour, cutting workers because of obamacare."
's force .,it's force.
's force applied to and also employment .,it's force applied to healthcare and also to employment.
's what after all this we have above 7 .,that's what even after all of this intervention we still have unemployment above 7%.
under as become obamacare style there stay will . european state,it will stay there as we become a european style socialist state under obamacare.
smitty one thing if mess my chalupa,"smitty, one thing if you mess with my chalupa."
