thank you for watching.,"['thank', 'for', '.']"
have a wonderful weekend.,"['have', 'wonderful', 'weekend', '.']"
keep it here.,"['keep', 'here', '.']"
"the number one business block continues with eric bolling and ""cashin' in.""","['number', 'one', 'business', 'block', 'continues', 'with', 'bolling', 'and', '``', ""'"", '.', ""''""]"
a warning sign for all americans.,"['warning', 'sign', 'for', 'americans']"
obamacare may be hazardous to your health plan.,"['obamacare', 'may', 'be', 'hazardous', 'your', 'plan', '.']"
don't believe this billboard by the heritage foundation?,"['do', ""n't"", 'believe', 'billboard', 'by', 'heritage', '?']"
how about this job creator?,"['how', 'this', 'creator', '?']"
it's the latest company showing just how hazardous the law is for workers.,"[""'s"", 'the', 'company', 'showing', 'just', 'how', 'hazardous', 'the', 'law', 'for', 'workers', '.']"
"plus, super power showdown over syria, how the crisis over there could prove we are losing the economic superpower status everywhere.","['everywhere', 'losing', 'power', 'how', 'the', 'we', 'the', 'economic', 'showdown', 'there', 'over', 'prove', '.', 'over', 'syria', ',', 'superpower']"
"then, desperate times call for desperate measures.","['desperate', '.', 'measures', 'then', 'call', 'for', 'times']"
first they supported low-wage worker now they are looking for any worker.,"['first', 'supported', 'low-wage', 'worker', 'now', 'they', 'looking', 'for', 'any', '.']"
how the boom could be a bust for jobs.,"['how', 'boom', 'could', 'be', 'a', 'for', 'jobs']"
"""cashin' in.""","['cashin', ""'"", '.']"
working hard for you right now.,"['working', 'hard', 'you', 'now', '.']"
"hi, everyone, i'm eric bolling.","['hi', 'everyone', ',', ""'m"", 'eric', 'bolling', '.']"
"the ""cashin' in"" crew this week -- welcome, everybody.","[""'"", 'crew', 'week', ',', '.', 'welcome', '``', 'in']"
obamacare.,['obamacare']
was supposed to help people get healthcare.,"['was', 'supposed', 'help', 'people', 'get', 'healthcare', '.']"
it was rammed down our throats this way.,"['was', 'rammed', 'down', 'throats', 'way', '.']"
look what is really happening.,"['look', 'is', 'really', 'happening', '.']"
obamacare could be hazardous to your health and your job.,"['obamacare', 'could', 'be', 'hazardous', 'your', 'and', 'your', '.']"
this giant billboard warns americans about the healthcare law.,"['giant', 'billboard', 'warns', 'americans', 'about', 'healthcare', '.']"
the sign from the conservative group heritage foundation may be a crystal ball.,"['sign', 'from', 'conservative', 'heritage', 'foundation', 'may', 'be', 'a', 'crystal', 'ball']"
